original,translation
ɣəm nəppəɬʔew wama ɣarəs… nərəswaɬəŋəttəqenat.,"Когда я была маленькой, собирали личинок овода."
niniwqin qəɬpərkən qəɬpiɣən.,"Говорит: «Пей давай, пей»."
teŋwenɬəɣi rəpətkəntewninʔəm ɣenanwətrəntewɬinʔəm.,"И всё-таки выдавила (личинку), на спину меня повалила."
qə... neməqej qərəswoɣe.,«Ты тоже поешь личинок».
это tumɣətum qəɣiteɣe murɣin ənpəŋew ɣereqəɬin teŋteŋewət pe… pe… это.,"«Муж, посмотри, что с нашей старшей дочкой?»."
nine… qeeqən tarəsɣətwaɣʔak.,Я ещё немного на боку полежала.
rəpɣəpɣewnin niniwqin.,"Сварила, говорит:"
qəɬpəɣən ну ɣemes… ɣemesqətwiɬin wiin.,"«Пей, пока оно ещё горячее (немного остыло)»."
wane məɬotaŋŋoɣʔak.,«Не хочу пи́сать».
wenɬəɣi это siŋkejərʔən qətɬəɣi ɣetitqetɬin ɣəmnan.,"Но со слюной всё равно, оказывается, попало."
ɣəm ŋawjoɬa niniwqin.,Двоюродная сестра мне говорит:
enewŋŋoɣʔe ɣəm.,Она мне начала говорить:
ʔetki waje уже tənanqəpaatɣʔak ewnikwisiɬʔetke opopə mesənkə.,"«Мне уже плохо, у меня живот вздулся, лучше не пить, хватит»."
ənqo niwqinet iʔam ətɬon ənŋin нрзб.,"Потом говорили, почему она такое не ест."
qərəm qərəm mərəswoɣʔak.,«Не буду я есть личинок».
ənqorə paaɣʔe tənutsirək.,Потом перестало опухать.
ənnen teŋənne qiɬɣətekwənet keɣənmət rəswantopɬətkok.,"«Единственное что — мой руки после того, как достаёшь личинок»."
ətsajaʔəm qejwe ɣineɬʔuɬinʔəm ɣeɬʔuɬin rəwətrəntawjo ənqen rəswaɬɣən ɣenpətkəntewɬin.,"Тётя, правда, видела, как она меня положила на спину и как личинку выдавила."
teŋewət təpeettəɬaŋŋoɣʔa и ɣiniw....,Тут же я начала опухать.
inikwʔi qarəsɣətwaɣe.,Говорит: «Полежи на боку».
nenanʔotawqen rəswoɬʔeɣəm.,Мне запрещали есть личинок.
и wenɬəɣi qəɬuteɣi.,«Всё равно пописай».
и это nəsajoqenat.,"И это, чай пили."
qonpə nəkeɣənmiɬɣətewiɣəm.,Я всегда мою руки.
а ɣəm weɬwaɣtə nətwajɣəm.,А мне совсем не хочется.
naqam ewət... teŋewət nəpeettəɬejɣəm.,Но всё равно оно опухало постепенно.
я говорю qərəm ətrʔes iɣət treɣisirkənet и toməkaɣtə trejəɬərkənet.,"Я говорю: «Хватит, я буду только собирать их (личинки) и другим отдавать»."
ətsajə ɣəmnin ətɬa enu… nenamŋəɬoqena.,Тётя и мать расспрашивают:
niniwqin qərəswantorkən.,Мне говорили: «Ты доставай личинок».
ənkataɣnepə ɣapaajɣəm.,С тех пор перестала (есть личинки).
qəɬuteɣi.,«Сходи пописай».
niniwqin ətɬʔata.,Мать говорит:
ну ənkataɣnepə ənqo ɬəɣen enanʔotawŋŋoɣʔe rəswoɬʔeɣəm.,С тех пор она просто стала запрещать мне есть личинки.
ну я прих… traɣtəɣʔak ɣəm и inikwʔi.,"Ну я пришла домой, и она мне говорит:"
ну я такая niwqin ɣereqiɣət ɣiɬɣəɬʔuwiɣət.,Говорит: «Что с твоим лицом?».
ɣəməkətsajaʔəm weriwu… weriwuunʔəkinet эти ɣisininet.,Моя тётя брусничные эти (листья) собрала.
ɣəmnan niwiɣəm.,Я говорю:
nəɬɣirɣətkuɬʔetqin тут же nə… nənnupetqinet rəɣətkoɣərɣət.,"Начало чесаться, расчёсы опухали."
