original,translation
"Kouz minä Pеlduoižis elin minun aigah oli Pеlduoine suuri külä oli seiččeikümmen kaheksa taluoid oli i d’oga oli külän agd’al osobi nimet kaikil.
","Koгдa я жила в Пелдоже, в те времена она была большая: семьдесят восемь дворов, и каждая часть деревни имела особое название."
"Pogostaspiäi zavoditahes Kažinagd’ah lopitah.
",Со стороны погоста деревня начиналась и в Кажинагде кончалась.
"Nu sit taluoid daže minä voim muštai, miittumad ol’d’ih taluoit.
","Все дома я могу припомнить, чьи были дома."
"Pogostaspiäi zavodiiheze enzimäine taluoi oli Lesken Fed’an, siid oli Kondruoin, siid oli Il’l’an D’akun, siid oli D’er’em’an D’ohoran, siid oli Gordin, D’akuižen, Kuz’minan, Pedrin, Löhlön, Mihailovan oli, riädüs se.
","Начиная со стороны погоста, первым был дом Феди Лескен, затем дом Кондруоя, затем был Дякку Ильян, затем дом Дёхора Деремян, далее были дома Дякку Гордин, Кузьмина, Педрин, Лёхлён, Михайлова – все это в [одном] ряду."
"Siid Mišan oli, Pešan Mišaks kirguttih, Akiimovan, D’ükin, siid oli Makarovan, D’ermolajevan, i Onuoin Fed’an oli, siit se riädü sissuai lоррih, Bohatterim Мiikkulah on taga riädü, pelduoispiäi: sigä oli Ontuoin, Arhipovan, Hutun, D’akun, Van’an akan oli.
","Затем был дом Миши, Мишей Пешан звали, затем дома Акимова, Дюкин, Макарова, Дермолаева и Феди Онуойн, этот ряд кончался домом Мийккула Богаттерин, а [начиная] с полей проходил задний ряд: там были дом Онтуоя, Архипан, Якова Хутун и дом вдовы Вани."
"Siid d’o op’ät’ sigä oli pelduoihpiäi, Sürd’än n’okal Mokin, D’urasovan, Sekon, Ol’oškan, Ruga D’ekun, sit tagariädül oli vie škola.
","А потом за полями в конце Сюрди были дома Мокин, Дюрасова, Секон, Олёшкан, Декку Руган, а в заднем ряду была еще школа."
"Nu siid d’o lоррih.
","Ну, тут уже [Сюрде] кончается."
"Toine lähtöu Haudan n’okke, Golovaspiäi.
",От дома Голован начинается Хауде.
"Haudal oli Golovam müödäh Il’l’an, Pedran Il’l’an kodi.
","На Хауде за домом Голован был дом Ильи, Ильи Педрин."
"Siid oli Mačin, siit Čurkinan niemekse, siid oli Čurkinan kodi, siid oli Titovan kodi, Ser’gevän kodi oli, Mišan D’akun oli Mišan, Iivanan oli, Ondr’ovan, L’evoskassuai, siid L’evoska randimaine.
","Затем был дом Мачин, затем на мысу, мысом Чуркина [называли], был дом Чуркина, затем дом Титова, Серговян, далее Дякку Мишан, Ивана Мишан был, Ондреван был, а Левоска жил на самом краю."
"Siid d’o lähtöu L’evoskaspiäi Agd’an, külä n’el’l’ talod vai viiž olnou: D’oškan, Tin’t’un, i Troškovan Agd’an St’opanan.
","Потом от Левоски пойдет уже Агде, четыре или пять домов было: Дёшкан, Тинтюн, Трошкова, Степана Агдян."
"Sih loppih d’o külä, sinne d’o lähtöu kalmižmua, kalmižem edelleh.
","Здесь деревня кончается, дальше уже пойдет кладбище, кладбище дальше."
"Siid oli kaks kalmižente.
",Было два кладбища.
"A siid d’o oli, tägä, vähäšte d’älgele azuttih, Tirkuois (Tirkuois = Kirkuois), Sürd’än kujon suuz, kai külä tože sih pohoronii, kaikkit.
","А новое уже было открыто в Киркуой, вблизи проселка Сюрди, немного позднее его тут открыли, вся деревня там хоронила."
"Siid oli kolme kujot.
",Было три проселка.
"Enzimäi oli Mualan kujo, viei dorogah suureh sinne, d’uamah; sil void mändä pogostale dai, kunna vai tahtuoid mändä.
","Один проселок выходил из Муалы, он вел к большой дороге, к шоссе; по нему можно было пройти к погосту и куда только хотел идти."
"Toine kujo oli keski küläl, Sürd’än kujokse kirguttih.
","Второй проселок проходил посередине деревни, проселком Сюрди называли."
"Tože voi mändä dorogah dai Präkkäh dai Riiselgäh dai, kunna vai tahtuoi mändä suurez dorogaspiäi.
","Он тоже вел к дороге, и в Прякку, и Ригсельгу, да и куда только хотел идти."
"I oli, vie, Hus’t’und’älgen kujo, sil kävüttih Kuzičun d’älgen.
","И был еще проселок Хустюндялги, [он начинался] после Кузиччу."
"Hebuoid viedih d’ogele da žiivatuit provodittih meččäh da kai, peldoluoile kävüttih.
",По нему лошадей водили за реку и скот гнали в лес; да еще ходили на поля.
"Sil ei suanu piästä sil kujal (kujal = kujol) dorogah, suureh dorogah.
","Этим проселком нельзя было попасть на дорогу, на большую дорогу."
"– Nu a ongo ammuine külä tämä?
","– Ну, а как стара была деревня Пелдожа?"
"- Ka en tiä.
",– Не знаю.
"– Kui muštelttih?
",– Как вспоминали?
"Kui muštel’t’t’ih kah ammuine vid’ on, vit’, kačo d’o mille on mi seiččeikümen nel’l’ vuotte, ka vid’ d’o ende sigä ol’d’ih da kai ka kui miidumat, kui miittumat tul’d’ih da kai, ei olnu, küläd meiden täs.
","Вспоминали, что деревня старинная была, мне вот уже семьдесят четыре года, так ведь еще раньше там жили, откуда пришли, а [раньше] здесь не было нашей деревни."
"Biegluoid azuttih se külä meiden, vot mušteltah kui.
","Беглые основали нашу деревню, как вспоминают."
"Miittumad enzieläjäd rodittiheze da kai em minä mušta sidä, em voi sanoda.
","А кто были первые жители, я этого не помню, не могу сказать, как было."
