original,translation
"Ну, иду-ка, балдыча̄в би моhадӯ, аhа.","Ну, где-то, родилась я в лесу, ага."
Дювун hэгдыӈэ бичо̄н.,Чум наш большой был.
Эниё рыбачитчэӈкӣтын.,Родители  рыбачили.
"Дюганӣва век, дюганӣдӯ век нулгидеӈкӣвун.",Летом мы все время кочевали.
Эӈкӣвун тэгэттэ анты-маты.,Не сидели мы нисколько.
"Ну куӈакардӯвун энтылвун мунэ дявучадяӈкӣтын, аяканди дявучадяӈкӣтын.","Ну в детстве наши родители нас держали, хорошо держали."
Олдолвэ hилкидиӈнэрэвун.,Рыбу мы мыли.
То адылчуhиниӈнэрэвун.,То сети поедем [=ездили] проверять.
"Адилилвэ товудечо̄тын то̄вэр, илан элӣ, киломэтрдулӣ гиркумат ӈэнэӈнэрэвун.","Сети они ставили вон за три километра, мы пешком проходили."
Олдолэ тадук гиркумат ируӈнаравун.,Сети оттуда пешком на себе мы таскали.
Экурди-кэ hутакардӯ угадеӈнаравун олдокорвэ.,"Этими самими, мешками несли на себе рыбку."
"И вот план, план биӈкӣн тарэ экун-ка.","И вот был план, это самое."
Элэвун планмутын випалнятчиӈнэрэвун.,Все мы их план выполняли.
Лаӈилвэр одеӈнэрэвун.,"""Пасти"" [ловушки] ставили."
"Амӣя лаӈилвэр одяпкӣл, а бу дундэвэ дюгудиӈнэрэвун.","Родители пасти делают, а мы землю таскали."
"Потом орокорвэр, орокорвэр дявучадяча̄вун.",Еще [=потом] оленей мы держали.
"Эя-ка hамнӣкарэ оӈнэрэвун, hамнӣро.","Эти самые, дымокуры мы делали, дымокуры."
Школала̄ hуручо̄в.,Я в школу пошла.
"Би же эчэв hа̄рэ, эва гундерэ.","Я же не знаю, что говорят."
Потом уже экун-ка и тугэ эмэӈнэрэвун интернаттула̄.,"Потом уже, это самое, и так приезжали в интернат."
Энтылвун мунэ гэнно̄пкӣл.,Родители нас забирали.
Потом нян эмэвупкӣл.,Потом опять привозили.
Школала̄ учитна̄ӈнэрэвун.,Мы уезжали в школу учиться.
"Тыгдэдерэкин, экун-ка, дюкаканэ одярэвун и дюлдэе эмэӈнэрэвун гулэлдуло̄.","Если шел дождь, мы делали чумик и два дня потом ехали в деревню."
Школала̄ мунэ эмэвупкӣл дюлдэе нулгит.,В школу нас везли два дня аргишом.
Эӈкӣтын мунэ собирарэ.,Не собирали нас.
"Эдӯ индерэн тар этӣркочоми яӈэты, Данила Николаевич.","Здесь живет этот старичок лысый, Данила Николаевич."
Строги биӈкӣн-тэ век мунэ дявучадяӈкӣн.,"Строгий он был и все время держал нас [крепко, в строгости]."
Потом ну hуруӈнэрэвун Горошиhала̄.,Потом мы уезжали в Горошиху.
Тоже ну каникулилвун hаялэ биӈкӣтын.,"Тоже, ну, каникул у нас не было."
И би векит-та моhадӯ индечо̄в.,И я все время-то в лесу жила.
"Эдӯ, hавалилчалаи, иниhичо̄в.","Здесь, став жить, стала работать."
Потом уже би экун-ка Турала̄ hуручо̄в.,"Потом уже я, это самое, в Туру поехала."
Учитна̄hичо̄в тадӯ.,Я отправилась учиться там.
Манам-да тадӯ hавалим.,Закончила и там отработала.
Олломо̄рэв.,Мы рыбачили.
"Тапача̄тыл тадӯ бичотын, дю̄лтын, Я̄данцэвил, мунӈи Һа̄дончиныл, дю̄лтын.","Тапачонков там были чумы, Яданцевых, наши, Хадончиных чумы."
"Бӣ дябдӯ тэгэм, дябдӯ соло̄ки Тура̄мива.","Я в лодке сижу, в лодке вверх по Турами."
Олломо̄рэв.,Рыбачим.
Оллоло кэтэко̄кунмэ ва̄рэв амӣнэн.,Рыбы много добываем с отцом.
Потом а̄грэв тадӯ.,Потом пристали к берегу там.
Амӣнмӣ минэ а̄синмурэн.,Отец меня спать уложил.
Тыргаллан ӈинакирвун мо̄ты̄во говолчол.,На рассвете наши собаки подняли лаем лося.
Говолло ӣдӯ-вэл.,Залаяли где-то.
Амӣнмӣ аракӯкан тэгэчон.,Отец тихонько встал.
Минэ эчэ сэрӣврэ.,Меня не разбудил.
"Суручо тар мо̄ты̄во, ӈинакирвэ говодерилво мо̄ты̄во ва̄настэн.","Пошел добыть того лося, того лося, на которого лаяли собаки."
"Мо̄ты̄во иченосчо, э̄курва ӈинакир говодёро.","Лося пошел поглядеть, на кого собаки лают."
Һэтэкэнэм.,Я проснулась.
Дылача аӈидерэн...,Солнце это самое...
Ӣло̄-кэ сурудем?,Куда же я пойду?
Говондула̄тын сурум.,Пошла на их лай.
"Ӈэнэдедем, ӈэнэдедем.","Иду, иду."
