src, new src, tgt
бу гундерэв, би гундем, я говорю
туг индерэв хэлэ эхико̄ко̄н, туг индем хэлэ эхико̄ко̄н, так живу сейчас
тадук эло̄ эмэӈнэрэв, тадук эло̄ эмэӈнэм, потом сюда прихожу
бу нян эмэӈнэрэв, би нян эмэӈнэм, я опять прихожу
бēгадӯ умно девувкӣ одяӈа̄с, бēгадӯ умно девувкӣ одяӈа̄сун, будете есть раз в месяц
эдӯ элдяӈа̄с гунденэл куӈакар hанӈӯктадясал, эдӯ элдяӈа̄сун гунденэл куӈакар hанӈӯктадясал, что вы будете здесь делать спросили дети
туг туг одяӈа̄с эргэсин, туг туг одяӈа̄сун эргэсин, таким ты будешь
бэе девсамдалон гирамдамӣла девувкӣ одяӈа̄с, бэе девсамдалон гирамдамӣла девувкӣ одяӈа̄сун, будешь есть за человеком его объедки кости
нуӈан ӈинакирвэ, ама̄ка̄ ӈинакирвэ, дед собаку ругает
ну hо̄ эӈэhӣчиhинчэ нуӈан ага, ну hо̄ эӈэhӣчиhинчэ ама̄ка̄ ага, дед очень сильный
нуӈан гунэн, этырко̄н гунэн, старик сказал
нуӈан ригадук, амӣ ригадук, отец из риги
потом нуӈан гадан лестницава о̄ран и hуруврэн нуӈарватын hэргӣскӣ дундэло̄, потом амӣ гадан лестницава о̄ран и hуруврэн нуӈарватын hэргӣскӣ дундэло̄, потом отец взял лестнгицу сделал и повел их вниз на землю
нуӈан гунэн хомо̄ты̄вэ ёлки, доктор гунэн хомо̄ты̄вэ ёлки, доктор говорит на медведя
нуӈан тэвлӣдевкӣ бисё сарсикан тарэ, этырко̄н тэвлӣдевкӣ бисё сарсикан тарэ, старик собирал ягоды этот сарсикан
ну нуӈан тыкулдэн и давай тукса̄hинэн, ну охотник тыкулдэн и давай тукса̄hинэн, охотник рассердился и давай бежать
би нуӈан гунэн, би бэе гунэн, мужчина сказал
нуӈан тар идӯ hирнасан тадӯ нян улдӣhиндян hаӈа̄рилва, бэе тар идӯ hирнасан тадӯ нян улдӣhиндян hаӈа̄рилва, где мужчина резал там опять сошьет дыры
нуӈан юрэн элӣви эбэй медведьтэ, охотник юрэн элӣви эбэй медведьтэ, охотник вышел по этому самому медведь медведьто
нуӈан дявдукви оллолво аркичиллан, ама̄ка̄ дявдукви оллолво аркичиллан, дед стал колоть острогой из берестянки рыбу
нуӈан мунэ э̄стэн тадук, дядя мунэ э̄стэн тадук, дядя нас отогнал оттуда
нуӈан неделявэ эдӯка клеткадӯ бичо̄н, бэе неделявэ эдӯка клеткадӯ бичо̄н, мужчина неделю в этом самом в клетке был
та̄дӯк нуӈан догилрэн и до̄рэн ашиктадӯ, та̄дӯк амӣ догилрэн и до̄рэн ашиктадӯ, потом отец полетел и сел на елку
тар а̄канэм элэ нуӈан аӈивкӣ тыма̄тнэ но̄дэ тэгэвкӣ эсэко̄н эрудэрэ биксэ̄ко̄н, тар а̄канэм элэ ама̄ка̄ аӈивкӣ тыма̄тнэ но̄дэ тэгэвкӣ эсэко̄н эрудэрэ биксэ̄ко̄н, вот поспав дед хорошо встает утром как будто не сердился
тадук олгӣтканэм нуӈан аӈиӈкӣн, тадук олгӣтканэм пастух аӈиӈкӣн, потом высушив пастух это
потом нуӈан минэ как аӈитпи лап ой наннат hататпи как минэ аӈирэн, потом охотник минэ как аӈитпи лап ой наннат hататпи как минэ аӈирэн, потом охотник меня как лапой как меня это самое
нуӈан билдэн, этырко̄н билдэн, старик остался
тадӯк хаӈуктичав нуӈан и иланман анӈанил дэгивэтчэӈкӣн дюр бинэл, тадӯк хаӈуктичав пастух и иланман анӈанил дэгивэтчэӈкӣн дюр бинэл, потом спросил пастух три года прилетал вдвоем будучи
нуӈан даже гуниӈкӣн в берлогэ эпко̄ ва̄рэ абачӣ, этырко̄н даже гуниӈкӣн в берлогэ эпко̄ ва̄рэ абачӣ, старик даже говорил в берлоге нельзя убивать медведь
а нуӈан амардӯв тутудерэн, а охотник амардӯв тутудерэн, а охотник за мной ползет
нуӈан гиркудерэн мо̄лвэ ичэтчэвкӣ, амӣ гиркудерэн мо̄лвэ ичэтчэвкӣ, отец ходит разглядывает деревья
войнаткӣгу нуӈан ӈэнэдеса̄н, войнаткӣгу ама̄ка̄ ӈэнэдеса̄н, дед пошел на войну
и нуӈан тэгэрэн, и пастух тэгэрэн, и пастух сел
вот нуӈан потом опять тар же местола̄ эмэрэн, вот ама̄ка̄ потом опять тар же местола̄ эмэрэн, вот дед опять на то же место пришел
нуӈан же гиркурэн, амӣ же гиркурэн, отец отец же ходил
амӈаван аӈакэллу чтоб нуӈан юлдо̄н тар чаӈит юлдо̄н абдундукки, амӈаван аӈакэллу чтоб нуӈан юлдо̄н тар чаӈит юлдо̄н абдундукки, вход пасть откройте чтобы он вышел чтобы медведь вышел из своей берлоги
манарэн нуӈан нулевой классва, манарэн бэе нулевой классва, закончил мужчина нулевой класс
уже дяндук дяпкусивэл о̄рка нуӈан анӈанӣсэ, уже дяндук дяпкусивэл о̄рка бэе анӈанӣсэ, уже стал мужчина наверное гдето восемнадцати лет
нуӈан орорво тадӯ дяваксидяран, доктор орорво тадӯ дяваксидяран, доктор оленей там ловит
нуӈан везде дяе, ама̄ка̄ везде дяе, дед везде прячет
там нуӈан уйчо минэ ичеттови энӣндукпи, там этырко̄н уйчо минэ ичеттови энӣндукпи, там старик привязанный к своей матери чтобы я посмотрела
значит иуӈтувунэн нуӈан аба тарил отоёдеӈкӣн туӈава анӈанӣл, значит иуӈтувунэн дядя аба тарил отоёдеӈкӣн туӈава анӈанӣл, значит его бубен дядя отец хранил пять лет
вот нуӈан уло̄ккида̄и некэдерэн нуӈанман, вот пастух уло̄ккида̄и некэдерэн нуӈанман, вот пастух хочет обмануть его
нуӈан тыгэвэ албапкӣ угэрдемӣ не то что тар мӯе эмэпдо̄н, этырко̄н тыгэвэ албапкӣ угэрдемӣ не то что тар мӯе эмэпдо̄н, старик поднять посуду не мог не то что воды принести
нуӈан проводник бисо̄н, амӣ проводник бисо̄н, отец проводник был
