original,translation
"Tämä mua ol’i kahen kylän väl’issä, Krišen’ien da Dolguanovan, i molen kylät nagol’e izännyid’ih, yks’i izännyiččow i toin’e.
","Эта земля находилась между двумя деревнями, деревней Воскресенское и деревней Долганово, и жители обеих деревень постоянно здесь хозяйничали, одни хозяйничают и вторые хозяйничают."
"I arvašta viid’i Krišen’ien kylällä mua.
",Согласно жребию земля отошла деревне Воскресенское.
"Šeiččimen taluo, kaikin oldih omahizet.
","Семь домов, во всех жили родственники."
"I šillä kylällä pandih n’imen Spornoiks’i, žentäh pandih, što šil’dä mestašta spor’iečettih kakši kyl’iä.
","И той деревне дали название Спорное, потому дали, что за это место спорили жители двух деревень."
"Yhet oldih babašta päit’en vel’l’et, toizet d’edošta päit’ vel’l’et.
","Одни были братья со стороны бабушки, другие братья со стороны дедушки."
"D’edolla ol’i äijä poigua, kahekšan poigua i kolme tytärdä.
","У деда было много сыновей, восемь сыновей и три дочери."
"Vanhembi poiga ol’i miwn tuatto, kučuttih Fekl’iks’i, toin’e poiga ol’i Iivana, kolmaš T’ero, n’elläš R’iigo, a viiješ...
","Старшим сыном был мой отец, его звали Феоктистом, второго сына звали Иваном, третьего Терентием, четвертого Григорием, а пятого…"
"A jäl’gimän’e Lawr’i, tyttäret – vanhiin Mar’u, toin’e An’n’i, kolmaš Ogru.
","А последнего Лаврентием, дочерей – старшую Марией, среднюю Анной, младшую Аграфеной."
"D’iedon vel’l’ilöidä kučuttih Mois’o, toin’e Mokki, kolmaš – Hil’ippä, a naiz’ie...
","Братьев деда звали Моисеем, второго Мокеем, третьего Филиппом, а жен…"
"vain yhtä Matr’okši, toista Marfakši, kolmaš Lukki...
","одну Матрёной, вторую Марфой, третью Лукерьей…"
"A mamašta päit’ vel’l’ilöidä kučuttih – yhtä Oudukakši, toista Mois’okši, kolmatta Pawlukši.
","А братьев со стороны мамы звали так: одного Евдокимом, второго Моисеем, третьего Павлом."
"oi muissutiin Varvokši.
","ой, вспомнила, Варварой."
"Oldih hyö kaikin kewhät, no oldih ves’ma druwžnoit.
","Они все были бедными, но очень дружными."
"Muada ol’i vähä, a meččiä ol’i enämbi, pid’i meččiä šordua.
","Полей было мало, больше лесов было, нужно было валить лес."
"Mečän šorrettih, hiiret uber’ittih, mečän jäl’l’en kaššen poltettih, kaššen jäl’l’ellä tuhkih kyl’vet’t’ih ozrua enžimäiz’ičči, a toičči pid’i kannot n’e juwrdua, kannot juwrettih šuwrilla kangiloilla.
","Лес валили, бревна убирали, после леса жгли поджогу, после поджоги в первую очередь в золу сеяли ячмень, а затем нужно было все пни выкорчевать, пни корчевали большими вагами."
"Šidä kaššen muan luajittih muakši, kyn’n’et’t’ih, šilloin jo i ruvettih kyl’vämäh kaiken’muos’t’a s’iemen’ie ...
","Эта поджога и становилась полем, его вспахивали, а затем уже засеивали всякими разными семенами…"
"Luajittih n’ellä pelduo, yks’i peldo ol’i Krišen’ieh päin očiin, toin’e Lykkyh päit’ očiin, kolmaš peldo ol’i Kolmodvorkoih päit’ očiin, n’elläš peldo Dolguanovah päit’ očiin.
","Было сделано четыре поля, одно поле в сторону Воскресенского, второе в сторону Иванкова, третье в сторону Колмодворок, четвертое в сторону Долганова."
"Lykkyh päit’en pellošša, pellon peräššä ol’i ves’ma šuwri gora, šidä gorua kučuttih Maštan gorakši, miän d’iedot i šaneldih, što mintäh Maštan gorakši kučutah: el’iäs’s’eh ol’i l’itvan voina i miän randašša strojittih šillä goralla ves’ma korgien maštan kaččuos’s’a n’epr’ijuat’el’ua.
","На дальнем краю поля, которое находилось в стороне Иванкова, была очень высокая гора, ее называли Мачта-горой, наши деды рассказывали, почему гору так называют: в старину была Литовская война и в нашей стороне на той горе построили высокую мачту для того, чтобы наблюдать за неприятелем."
