original,translation
Itʼe imnʼassɨkkej iːlаkustə. ,Итя с братьями жил.
Itʼe palʼdʼukus qwelalʼlʼе i suːrulʼlʼe paldʼukus. ,Итя ходил рыбачить и охотиться ходил.
Okkəmɨqаn paldʼülʼewlə (nʼanna čaːčakus nild). ,"Однажды, походив, туда пришел так."
tʼаŋоndə miːtaŋ. ,…В ловушку попал.
а nʼanno na tʼaraŋ qal šɨndə neldʼölčeːnǯaŋ. ,"А туда говорит: мол, тебя пну."
I naːtnо tʼäraŋ: neldʼölčеnǯaŋ. ,И еще говорит: пну.
"[KuAI:] Фрося Ирикова, сказка. ","[KuAI:] Фрося Ирикова, сказка."
Šittɨ ira imasɨqəj ilɨmɨntɔːqəj. ,Жили две женщины с мужьями.
Imaqəj moqɨnɨ qalɨmpɔːqəj. ,Две женщины дома остались.
Lɨpqɨmɔːtajan. ,Стемнело.
"Ukkɨr ima ijajantɨsa namɨššak sɔːntɨrna, namɨššak sɔːntɨrna. ","Одна женщина так [сильно] заигралась со своим малышом, так сильно заигралась."
Toːna ima nık kətɨŋɨtɨ. ,Та женщина так говорит.
((…)). ,"(Успокойтесь, тихо себя ведите ?)."
"Uže lɨpqɨmɔːtpa, me oš onɨt (ontɨn) pɛlɨkɔːlɛːŋɔːmɨn. ","Уже стемнело, ведь мы одни остались."
Melʼtɨ üčʼalɨmpa. ,Всё продолжает баловаться.
Ima aj kətɨŋɨtɨ. ,Женщина снова говорит.
“(Čʼarɨqalɔːqɨ)”. ,“Потише”.
Mɨtta (ontɨ=) ((…)) ontɨ ijamtɨ kurraintɨ orɨčʼčʼɨtɨ. ,"Как бы своего ребенка пеленает, старается."
Nɔːt loːsɨ irra šerra ılla. ,Потом мужик-медведь зашел.
Təttantɨ illa omtɨ illa topɨti šittɨ čʼattɨmpɨla. ,"На землю/пол(?) сел, ноги в стороны раскинув."
“Qəə ilʼčʼa topal toː loːqɨ mat kətsan tukɨrɨm pona tattɨllam”. ,"“Ой, дедушка, подвинься [=ноги убери], я у внука пойду вынесу труху”."
Na ima ((…)) ija neːjamtɨ keːraqɨntɨ ((…)) pona toː sačʼčʼɨmɔːtpa. ,Эта женщина своего сына-ребеночка (на подол?) (положила?) и на улицу выскочила.
"((…)) Sačʼčʼɨmɔːlla, qälɨporɨ qənpa ɨraiːqɨntɨ. ","Выскочив, бегом побежала к своим мужикам."
İraiːqɨntɨ tülä (ılla) nık kətɨŋɨtɨ. ,"Придя к мужикам, так говорит."
“((…)) Loːsɨ ira tüːsa. ,“Чёрт-старик пришел.
“Qajqo ((…))?” ,“Зачем (врёшь?)?”
Pɨːpa ɨra na inna qaj amnɨt. ,"Старик-медведь, наверное, их съел."
Ijaiːntɨ aj (ima ima=) imantɨ olɨ ((…)) pontɨ ınna tokkaltɨmpat. ,Детей и жены головы на деревья повесил.
[KuAI:] Фрося Ирикова. Сказка. ,"[KuAI:] Фрося Ирикова, cказка."
"Ukkɨr mɔːtqɨn, ukkɨr mɔːtqɨt qumɨn ilɨmmɨntɔːtɨn. ","В одном доме, в одном доме жили люди."
Nɨmtɨ na mɔːtqɨntɨ nılʼčʼi ima ɛːppɨntɨ. ,Там в этом доме такая женщина была.
Qumɨn lɨpkɨmɔːlla muntɨ ılla qontɔːtɨn. ,"Люди, когда стемнеет, все засыпают."
"Na ima čʼeːlʼin ašša (qo=), čʼeːlʼin qontɨqɨjojimpa. ",Эта женщина днём не… днём спит.
Amɨrqɨjojimpɨqo olampa. ,Есть начинать собирается.
Šütɨran. ,Шьёт.
"Meːltɨqam nıŋ orɨnʼnʼa, čʼeːlɨt qonta, lipkɨqɨn uːčʼa. ","Всегда так делает, днём спит, ночью работает."
Pɨrnʼi mɔːt šeːrɨ. ,Ведьма в дом зашла.
