original,translation
"Vellenke ühten kerdan mänimei mectamaha mii kahten kes’ken.
",Однажды мы с братом пошли вдвоем на охоту.
"Mec edahan diki, virstad kahesa.
","Лес очень далеко, верстах в восьми."
"Vot astumei kod’he.
",Вот идем домой.
"Oli miil’ koir, Karzon.
",Была у нас собака Карзон.
"Astumei kod’he, vdrug koir nutaškanz’ oravan.
","Идем домой, вдруг собака залаяла на белку."
"Aig ol’ sügüz’.
",Время было осеннее ('осень').
"Mii necen oravan ambuimei i kogoneižen pejan nimidä sadud em.
",Мы эту белку застрелили и за целый день ничего [больше] не добыли.
"Konz tulimei lähele kodid’, homaičimei – mi-se vougištab penshil’ kes’kes.
","Когда подошли близко к дому, заметили – что-то белеет в кустах."
"Minä san: «Mihail, kacke, naku om janiš».
","Я говорю: «Михаил, смотри-ка, тут заяц»."
"Hän sab: «Hüvä, andako oružj, minä ambun hänen».
","Он говорит: «Хорошо, дай-ка ружье, я застрелю его»."
"Minä otin’, andoin’ hällе oružjan, hän skokkaht’ karas päliči i jänišaha rindale podoidiškanzi.
","Я взял, дал ему ружье, он перескочил через яму и подошел к зайцу."
"Hän podoidi i bangeiž, ambui.
","Он подошел и бабахнул, выстрелил."
"Kacuhtin’ – ka jäniš bokou venub.
",Я посмотрел – заяц на боку лежит.
"Mihail oružjan kädhe i hänеlе rindale skokkaht’.
",Михаил [взял] ружье в руку и подскочил к нему.
"Konz hän skokkaht’ rindale, jäniš mugažno skokkaht’.
","Когда он подскочил, заяц тоже вскочил."
"Hän ümbri penzast, jäniš-se, Mihail jäl’g’h’e jän’išad, vuu sid’ koir t’öndui.
","Он вокруг куста [бегает], заяц-то, Михаил за зайцем, потом еще собака кинулась."
"Üks’ joksendab, toine jäl’ghe, kuumanz’ ...
","Один бежит, другой следом, третий..."
"Sihessei joksenzimei, što nece jäniš pagen’.
","До тех пор бежал от них этот заяц, пока не убежал."
"Ühten kerdan ...
",Однажды...
"nece amu oli jo, ii nugde, vot jo vištošküme ika kaks’küme.
","это было уже давно, не теперь, лет уже пятнадцать, а то и двадцать [тому назад]."
"Mäniba kahten kes’ken mecnikad mectamaha.
",Пошли охотники вдвоем на охоту.
"Kondi süi diki äjän lehmid’ ühthe kogho, tedan nel’l’, en tea viž lehmäd.
","Медведь съел очень много коров сразу ('в одну кучу'), не то четыре, не то пять коров."
"Hilläšti ehtkoižuu soberihezoiš i tönduiba, üks’ nor’, muga vot vištošküme–kus’tošküm’e, a toine vanhambam poluu, vot višküme.
","Потихоньку вечером собрались и отправились, один молодой, этак лет пятнадцати-шестнадцати, а второй постарше, лет пятидесяти."
"Otiba oružjad.
",Взяли ружья.
"Oružjad oliba eduu šompol’nijad.
",Ружья были раньше шомпольные.
"Vot mäniba sinnä, tegiba labazan, ištuihezoiš.
","Вот пошли туда, сделали лабаз, сели."
"Vot išttas kokotadas.
",Вот сидят-посиживают.
"Peine laskihez, pmed tegihez jo.
","Солнце село, стало уже темно."
"Nor’- kасlеsе kaikjalepei, kulеb – mi-se käveleb ümbri.
","Молодой-то оглядывается во все стороны, слышит – кто-то ходит вокруг."
"Čokkoib vanhan ukon-se bokha, sanub: «Juša-d’äd’, ken-se šobaidab ka».
","Тычет дряхлого старика в бок, говорит: «Дядя Ваня, кто-то шуршит»."
"– Šobaidab ka hüvä, sanub, ištu, ala kidasta.
","– Шуршит, так ладно, говорит, сиди, не кричи."
"Minutad vištošküme proidi jäl’ghe necida paginad.
",Минут пятнадцать прошло после этого разговора.
"Vdrug kacuhtiba – kondi tuli rindale i zavodi sen propašinan söda.
",Вдруг посмотрели – медведь появился рядом и начал эту падаль есть.
"Juša uk kacub, a ii rohti ampta, Käskeb norembale: «Sinä, saab, ambu».
","Дядя Ваня смотрит, а стрелять не смеет, велит младшему [стрелять]: «Ты, говорит, стреляй»."
"– Ii, prihäč, sinä, saab, ambu.
","– Нет, брат, ты, говорит, стреляй."
"Nu i vot, sihessei pagižiba, jäl’gmei nor’ reši ampta.
","Ну и вот, до тех пор спорили, наконец молодой решил выстрелить."
"Ot’ da ku paukaidab, ka Juša-uk orgbo labazaspei da kondjale edehe.
","Взял да как бахнет, так дядя Ваня с лабаза вниз [свалился] да перед медведем [оказался]."
"Nu, kondi pagen’.
","Ну, медведь убежал."
"Nor’-se las’kihez, saab: «Näged, Juša-ded, sanuin’ vet’, ampkam molombad, a sinä, näged, ed ambund, ka vot i lanksid’, pöl’gästuid’».
","Молодой-то спустился, говорит: «Видишь, дядя Ваня, я сказал ведь, [что] выстрелим оба, а ты, видишь, не выстрелил, вот и упал, испугался»."
"Muga kod’he tuliba.
",Так и пришли домой.
"Ühten kerdan tovarišoidenke nellän kes’ken läksimei kalha.
",Однажды [мы] с товарищами вчетвером пошли рыбу ловить.
"Lendimei venhed ülähäks jogedmo kilometrad nel’l’, nu i zavodimei päzda orgho hilläšti.
","Подняли лодки вверх по реке километра на четыре, ну и начали спускаться потихоньку вниз."
"Nazįvaiše nece pribor - vada, tegese hän langaspei.
","Называется этот прибор vada [небольшой невод], делается он из нитки."
"Tönduimei orghopei.
",Поехали мы вниз [по течению].
"Siloi lohen käs’kliba sada.
",Тогда разрешали ('велели') лосось ловить.
"Ajamei hilläšti kod’hepei.
",Едем тихонько в сторону дома.
"Kalad saimei äjän.
",Рыбы мы поймали много.
"Kaikutte lohi vedab kilogramad kuz’, oma i kaks’tošküme kilogramad.
","Каждый лосось тянет килограммов шесть, бывают и по двенадцать килограммов."
"Proidimei der’ounan kaiken čisto.
",Прошли всю деревню.
"Der’ounaspei läksimei jo kuume sadad metrad.
",Отошли от деревни уже на триста метров.
"Konz lohi iški, minä heikahtin’: «Veda, tovariš!»
","Когда лосось попался ('ударился'), я крикнул: «Тяни, товарищ!»"
"Nu, vedouzimei.
","Ну, вытянули."
"Lohen ülähäks lendimei, minä händast venheze i zavodin’ necen lohen rikta.
","Подняли лосося на поверхность, я его в лодку и начал убивать этого лосося."
"Otin’ ez’meižen kerdan kurikoižuu iškin’, a tovarišad kahten kes’ken venhen n’okuiš miid’ randha vediba.
","Взял первый раз дубинкой ударил, а товарищи вдвоем за нос лодки вытянули нас на берег."
"I vot necil’ aigeižuu venhen minei kukerziba, zaliba vedel.
","И вот в этот момент опрокинули у меня лодку, залили водой."
"Minä okažimoi rindhižessei vedes.
",Я оказался по грудь в воде.
"Nu a tovarišid’ üks’ minei: «Spas’käd lohed, a ii ka, kaik lähttas».
","Ну, а один из товарищей мне: «Спасайте лососей, а не то все уйдут»."
"Üks’ tovariš venheze skokkaht’, tabaz’ lohen-se šahliš i kidastab: «Minä, prihad, sain’».
","Один товарищ в лодку прыгнул, поймал лосося за жабры и кричит: «Я, ребята, поймал»."
"Minä hänele: «Čortan sinä said’, lohi-se toižuu randou jo, nakkana män’».
","Я ему: «Черта ты поймал, лосось-то уже на другом берегу, вон туда ушел»."
"Ez’meižeks mecnikad mändas mecha, lüutas kon’d’jan jäl’gid’ möd, kon’d’jan panetadas pezha.
","Сначала охотники идут в лес, найдут медведя по следам, уложится медведь спать в берлоге."
"Panese kondi kaika diki paksuhu mecha, kus om äi kuzid’.
","Медведь ложится спать всегда в очень густом лесу, где много елей."
"Necen kon’djan jättas, kuni ii tehte äjou lumt’.
","Оставляют этого медведя до тех пор, пока не будет много снега."
"Mändas da nutanzoittas koiril’.
",Идут и дают собакам облаять [медведя].
"Sid’ eciškatas mecnikan, kudam voib necen kon’d’jan sada, inače nazįvaiše mödas-gi necen pezan.
","Потом начинают искать охотника, который может добыть этого медведя, иначе говоря, продают эту берлогу."
"Pezas voib uuda kaks’ kon’d’jad, voib poigidenke erasišti kuume – nel’l’.
","В берлоге может быть два медведя, может с медвежатами [быть] иногда три-четыре."
"Tuudas mehed ohotsojuzaspei i osttas necen pezan.
",Приходят люди из охотсоюза и выкупают эту берлогу.
"Konz osttas kon’d’jan, mändas neci’ä kon’d’jad samha.
","Когда выкупят, идут добывать этого медведя."
"Ez’meižeks narodad kuctas mest’ kuumeküme.
",Сначала созовут народу человек тридцать.
"Necen tahon kaiken ümbri ottas, ümbärtas, siižutadas narodan ühthe siihä ümbri kon’d’jas i jättas verejäd, kus mecnikad piittas oružjoidenke i varastadas, kut kondi tuleškandeb hiide päle.
","Все это место окружают, ставят народ вокруг медведя и оставляют выход ('дверь'), где прячутся охотники с ружьями и ждут, когда медведь пойдет на них."
"Oma mugomad mehed, diki boikijad mecnikad, jegerid’.
","Есть такие люди, очень бойкие охотники, у них есть егеря."
"Nene mecnikad mändas i pezha čokaitas kiihou.
",Эти охотники идут и тычут в берлогу рогатиной.
"Necil’ kiihil’ čokoitas, kon’di lähteb sigäpei.
","Этими рогатинами тычут, медведь выйдет оттуда."
"Narod zavodib kidastada.
",Народ начинает кричать.
"Nu, konečno, kondi narodale päle mäne ii, hän mäneb, kus ele kidad.
","Ну, конечно, медведь на народ не идет, он идет [туда], где нет крика."
"Nu i koirad mugažno ajetas sin’n’a.
","Ну, и собак также гонят туда."
"Konz tuudas vereihe, mecnikoidennost, mecnikad ottas i necen kon’d’jan amptas.
","Когда придут к воротам, к охотникам, охотники возьмут и застрелят этого медведя."
"Erasišti putta ii sa kerdou.
",Иногда с одного раза не попасть.
"Ühten kerdan kahten kes’ken mecn’ikad siižuiba neniš vereiš.
",Однажды охотники вдвоем стояли в этих воротах.
"Kon’di sin’n’a loihez hiidennost, nu i ambui tovariš sit’.
","Медведь туда бросился к ним, ну, товарищ и выстрелил тут."
"Ambui, putui händast, a kondi-se ol’ sur’, pudale vištoškümele.
","Выстрелил, попал в него, а медведь-то был большой, пудов на пятнадцать."
"Nu i hän päle hänele töndui.
","Ну, он и кинулся на него [на охотника]."
"Hän oti, tovarišou oružjan hvati, hloponi ampta toižen kerdan.
","Он взял у товарища ружье выхватил, выстрелил второй раз."
"Konz kon’di valihez, siloi eskei jo hän vzdohni: «Oh, rikoin’ sindei».
","Когда медведь повалился, тогда только он вздохнул: «Ох, убил [я] тебя»."
"Nu i potom necen narodan, ked oliba sit’, ižandad makstas, dengad hiiläze anttas, kons kon’djan todas kod’he.
","Ну, и потом этому народу, кто был тут, хозяева платят, дают им деньги, когда принесут медведя домой."
"Mecatas razno, ken kut voib.
","Охотятся по-разному, кто как может."
"Minä roskažin', kut händikid' sadas lihale.
","Я расскажу, как ловят волков на мясо."
"Eduu stroiba mecha pertiižen ili staneižen lagedale sijale.
",Раньше строили в лесу избушку или стан на открытом месте.
"Vöskenziba nečile sijale prapadn’uizid’ živateid’.
",Возили на это место сдохших животных.
"Händikahid’ oli diki äi.
",Волков было очень много.
"Necen padalin’ eduupei vödas i karaul’d’as, konz händikahad zavot’t’as käelta nečile lihale.
","Эту падаль сначала увезут и караулят, когда волки начнут ходить к этому мясу."
"Konz hii zavot’t’as käelta, siloi kahten kesken mecnikad mändas neche pertiižehe i ištusoiš.
","Когда они начнут ходить, тогда охотники вдвоем идут в эту избушку и садятся."
"Nu, ištusoiš homenczor’ou ili ehtkoižuu ili konz om čoma, sel’ged, kudmeine ö.
","Ну, садятся на утренней заре, или вечером, или когда красивая, ясная, лунная ночь."
"Išttas i varastadas, konz händikahad tuudas.
","Сидят и ждут, когда придут волки."
"Konz händikaz podoidib hil’l’ašti, necen händikahan amptas.
","Когда волк подойдет тихонько, этого волка застрелят."
"Ihastudas mecnikad.
",Обрадуются охотники.
"A erašti oma slučajat, mišto amptas da siriči, ii hüvä rad lähte.
","А иногда бывают случаи, что стреляют, да мимо, нехорошо получается."
"Lüutas jäl’ged händikahiden, homenczor’ou.
",Находят волчьи следы на утренней заре.
"Nene jäl’ged ottas i ümbärtas mecnikad.
",Эти следы охотники [берут] и окружают.
"Keradasei viden kesken ili nel’l’an.
",Соберутся впятером или вчетвером.
"Händikaz vareidab rusttad.
",Волк боится красного цвета.
"Vot necen sijan, kus išttas händikahad, ümbärtas, jättas verejän, kuna jäb kahten kes’ken mecnikoid’, a kahten kes’ken ümbärdaškatas.
","Вот то место, где сидят волки, окружают, оставляют ворота, где остаются двое охотников, а двое начинают окружать."
"A konz händikaz tuleb vereihe, kus nikeda ele, amptas i riktas.
","А когда волк подойдет к воротам, где никого нет, стреляют и убивают."
"Tariž ampta kerdou.
",Нужно застрелить с одного раза.
"Erasišti oma slučajad, ambundaspei händikaz skokkahtab päliči nenid' flaškoid’ i pageneb.
","Иногда бывают случаи, [что] от стрельбы волк перескочит через эти флажки и убежит."
"Ez’meižeks dogovorišoiš nel’l’an- mecnikad.
",Сначала договорятся четверо-пятеро охотников.
"Kar kaida tariž, ii madal, oliš süvä kuume metrad.
","Нужно яму выкопать, не мелкую, [чтобы] была глубиной в три-четыре метра."
"Tehtas karan, necen karan kaiken barboil’ ümbärtas, mišto ii valiže bokišpei.
","Выкопают яму, эту яму всю обставляют ветками, чтоб не сыпалось с боков."
"Kes’kele karad pandas pachan.
",Посреди ямы ставят столб.
"Pachas sigä mastin.
",На столбе там корзина.
"Mast’n’aha pandas mitte-se kozaine ili vodnaine.
",В корзину кладут какую-нибудь козочку или ягненка.
"Kaiken ukrepidas čomašti, vahvas, soubatas hänen, verejän tehtas.
","Все укрепят хорошенько, крепко, закрывают ее [яму], делают дверь."
"Verei iče avaidase i souptase, a enambad ii avaite.
","Дверь сама откроется и закроется, а больше не открывается."
"Händikaz konz mäb sin’n’a, nu ka hän tagaz punoutase ii voi.
","Когда волк пройдет туда, так он обратно не может вернуться."
"Händikaz kulištab kidan, sen sigaižen vižun ili lambheižen värižendan ili koiran nutandan.
","Волк услышит крик, визг этого поросенка, или блеяние ягненка, или лай собаки."
"Konz hän touvhuu om näl’ghine, tuleb neche tahole.
","Когда он зимой голодный, придет на это место."
"Konz hän tuleb necen tahonnost, karannost, mäneb hodadmu, vereine edeleze avaidase, konz hän stukičihe ka, nu i sin’n’a ličose.
","Когда он придет к этому месту, к яме, идет по проходу, дверца вперед открывается, когда он постучался, ну и втискивается туда."
"Sada koirašt hänele nikut ii sa, nece pacas siižub nenenno ümbri kahtes metras.
","Собаку достать он никак не может ('ему никак нельзя'), этот столб стоит тут, около двух-трех метров."
"Skokkahtada ii sa, a tagas pätiše, verei souptase.
","Прыгнуть нельзя, и назад попятится, дверь закрывается."
"Potom toine voib tuuda, kuumanz’, i voib kogoneižen artelin’ händikahid’ sada neche karha.
","Потом второй [волк] может прийти, третий, и можно целую стаю волков поймать в эту яму."
"Mecoin’ kim’ interesnii.
",Глухариный ток интересный.
"Tariž mända aigoiš, mišto homenczor’ad ii magata, pimedeižes lähtta, poliš üin’.
","Надо идти рано, чтобы не проспать утренней зорьки, в темноте найти, в полночь."
"Kuden virstan taga minä mänin’.
",Я пошел за шесть верст.
"Konz minä mänin’ sin’n’a, tegen’z’ jo kuume časud homendest.
","Когда я пришел туда, стало уже три часа утра."
"Mecoi zavodi kimdä hämäreižes.
",Глухарь начал токовать в сумерках.
"Minä podoidiškanzin’ necen mecoinnost.
",Я подошел к этому глухарю.
"Kuni minä podoidin’, kulištin’ – jäl’gil’ ken-se höpkäb.
","Пока я подходил, услышал – сзади кто-то шуршит."
"Minä san: «Ken-ni ristit om, ii mahta kimitada, tedan, senes käveleb».
","Я говорю: «Какой-то человек не умеет ходить на ток, наверно, за грибами ходит»."
"Mecoi ol’ višküme metrad minuspei, kului čomin’ diki, kut kimib.
","Глухарь был в пятидесяти метрах от меня, очень хорошо было слышно, как токует."
"Kulen kaiken aigan ken-se höpkäb jäl’gil.
",Слышу все время: кто-то шуршит сзади.
"Kaclemoi pimedaha, polhe, toižhe – nikus nikeda en näge, a kulen ken-se höpkäb.
","Оглядываюсь в темноту, в сторону, в другую – нигде никого не вижу, а слышу: кто-то шуршит."
"Kenak hän om?
",Кто же это?
"Heikahtad ka mecoi hiitäb kimindan.
","Окликнешь, так глухарь перестанет токовать."
"Jäl’gmäi minä podoidiškanzin’, tulin’ prosekale, prosekal čapet pedei.
","Наконец, я решил подойти ('начал подходить'), пришел на просеку, на просеке срублена сосна."
"Sen pedeiladvan minä ümbärzin’.
",Я обошел макушку этой сосны.
"Čut’ kočkahtad ka i mecoi lendab, kulištab ka.
","Чуть хрустнешь, так глухарь улетит, услышит."
"A kondi-se tuukuind ii nečida, hän ladvale i valihez, tegi šumun.
","А медведь-то не понимал этого, он на макушку и навалился, наделал шуму."
"Ladv katten’, minä punouzimoi, kacun ka siižub korttemb mindei mugoine kondi.
","Макушка сломалась, я обернулся, смотрю – стоит такой медведь, выше меня."
"«Kuna sinä tulid'?».
",«Куда ты пришел-то?».
"A hän: «Hä!».
",А он: «Ха-а!».
"Kelen oigen’z’ minuhuin’.
",Язык показал мне ('направил ко мне').
"Minei i jougad i käded i kaik sijad ...
","У меня и ноги, и руки, и все…"
"em mušta omk kepk päs ili ele.
","Не помню, есть ли кепка на голове или нет."
"Nikut emboi nimidä tehta, muga i hot’t’as kaik sijad.
","Никак не могу ничего сделать, так и дрожит все [тело]."
"Jäl’gmäi koje-kut uspokoimoi, otin’ patronan pul’kanke čokaižin toižen kädhe, nečhe kond’jaha ampta zavod’in’, ka ampta emboi nikut.
","Наконец кое-как успокоился, взял патрон с пулей, сунул [в ружье], вторую в руку [взял], стал стрелять в этого медведя, так стрелять никак не могу."
"A hän siižub da kelen ozuteleb minei da šahaidab: «Hä-ä, sab, putuid’ nugde sinä, naroviške, minä sinei ozutan».
","А он стоит и язык показывает мне и шепчет: «Ха-а, – говорит, – попался ты теперь, погоди-ка, я тебе покажу»."
"Sit’ kojo-kut uspokoimoi, pricelimoi, ku poukeidan, kondi bokale sihe skloraht’, ohkaht’, kutn’a sada mest’ heikaht’ da minuspei pagod, minä jäl’ghe.
","Потом [я] кое-как успокоился, прицелился, как бабахну, медведь тут набок повалился, охнул, вскрикнул, будто сто человек, и убежал от меня, я за ним."
"Jokseb metrad sada da möstona siižutase da möst: «Oho-ho».
","Пробежит метров сто и опять остановится, и опять: «Охо-хо-хо!»."
"Minä san: «Miak sinä kidastad, vähou putui?».
","Я говорю: «Что ты кричишь, мало попало»."
"Möstona jokseb, möstona minä jäl’ghe hänele.
","Опять бежит, я опять за ним."
"Potom minä dumain’: «Mihe minä durak joksen, hän kuna-ni siižutase da voib söda».
","Потом я подумал: «Зачем я, дурак, бегу, он где-нибудь остановится и может съесть»."
"Pörzimoi tagaz.
",Повернул обратно.
"Minä san: «Ambuin’- verno ili en?».
",Я говорю: «Выстрелил ли я верно или нет?».
"Tulin’ ani sille sijale, kacuhtin’ – točno.
","Пришел на то самое место, посмотрел – точно."
"A pul’k-se ol’ minei razrivnįi.
",А пуля-то у меня была разрывная.
"Konz minä ambuin’, putui karvoidmu i händast oskolkoil’ vaišena ozeiž, a ii kaikuu pul’kou.
","Когда я выстрелил, попал по шерсти, и в него только осколки попали, а не вся пуля."
"Potom pigembali kodhe prikatin’ turuda, ika, minä san, toine tuleb ningoi ka lineb čudad siloi.
","Потом побыстрее домой прикатил, а то, я говорю, второй такой придет, так будет тебе чудо."
"Tulin’ kod’he.
",Пришел [я] домой.
"Mam sab: «Mijak sinä aigoiš tulid’?».
",Мать говорит: «Что ты рано пришел?».
"Minä san: «Ala pagiže, tämbei ambuin’ minä kondjaha, da koje-kut minä päzuin’».
","Я говорю: «Не говори, стрелял я сегодня в медведя, да кое-как выбрался»."
"«Nece, sanob, čud ka čud, igäs ningošt’ eleškend».
","– «Это, – говорит, – чудо так чудо, в жизни такого не бывало»."
"Ühten kerdan minä mänin’ kalha.
",Однажды пошел я рыбачить.
"Venhen otin’ homencuu aigoiš i tönduin’ kalha.
",Утром рано взял и отправился на рыбалку.
"Ajein’ virstan, niken kokeidand ii.
","Проехал версту, ни одна не клюнула."
"Konz kod’he tönduin’, venehehe ku paigeidab, čut’ ii hambhišpei simad hädant.
","Когда домой направился, об лодку как стукнет, чуть леску из зубов не вырвал."
"Zavodin vedada ka ii tule, venhen vedab tagaz.
","Я начал тянуть, так не идет, тянет лодку назад."
"Nece ka nece, minä san, mitte životni putui».
","«Ну и ну, я говорю, какое животное попалось»."
