,src,new_src,tgt
0,туг индерэв хэлэ эхико̄ко̄н,туг индеМ хэлэ эхико̄ко̄н,ТАК ЖИВЕМ СЕЙЧАС
152,тыматнэ унэ тэгэрэв дяввар муӈгарав,тыматнэ унэ тэгэМ дяввар муӈгарав,РАНО УТРОМ ВСТАЛИ ЗАСМОЛИЛИ БЕРЕСТЯНКУ
212,тадук нуӈанман но̄рэв дявами дапду куврикту,тадук нуӈанман но̄М дявами дапду куврикту,ПОТОМ ЕГО ПОЛОЖИЛИ КОГДА ПОЙМАЛИ В ЛОДКЕ В КУБРИКЕ
317,тара болорокин тала̄ потихоньку ӈэнэӈнэрэв может там не доезжая до этого места,тара болорокин тала̄ потихоньку ӈэнэӈнэМ может там не доезжая до этого места,КОГДА ОСЕНЬ НАСТУПАЕТ ТУДА ПОТИХОНЬКУ ЕДЕМ МОЖЕТ ТАМ НЕ ДОЕЗЖАЯ ДО ЭТОГО МЕСТА
459,эмэдеӈнэрэв эмэдеӈнэрэв,эмэдеӈнэМ эмэдеӈнэМ,ПОДХОДИМ ПОДХОДИМ
501,и карабитай тартыки сурурэв аминнӯн,и карабитай тартыки суруМ аминнӯн,И С КАРАБИНОМ ТУДА ПОШЕЛ С ОТЦОМ
709,тадук нян улуму улумиӈнэрэв улу улумоӈнэрэв,тадук нян улуму улумиӈнэМ улу улумоӈнэМ,ПОТОМ ОПЯТЬ УЕЗЖАЕМ БЕЛКОВАТЬ
750,и аӈив дэрӯмкисарэв аят,и аӈив дэрӯмкисаМ аят,И ЭТО ОТДОХНУЛИ ХОРОШО
909,она тарэв галя энин всё жила виктор эбэконун,она таМ галя энин всё жила виктор эбэконун,ГАЛИНА МАТЬ ВСЕ ЖИЛА С БАБУШКОЙ ВИКТОРА
986,ичэрэв экунма экунмака киранчиканмэ тоготчерӣвэ дягдадӯ,ичэМ экунма экунмака киранчиканмэ тоготчерӣвэ дягдадӯ,УВИДЕЛИ ЭТОГО ЭТОГО ОРЛЕНКА СИДЯЩЕГО НА СОСНЕ
1255,уллэӈилвэр дювурэв дявдула̄вэр,уллэӈилвэр дювуМ дявдула̄вэр,МЯСО ПЕРЕТАСКАЛИ В ЛОДКУ
1281,дептылэвэр гада̄вэр эмэӈнэрэв эла̄,дептылэвэр гада̄вэр эмэӈнэМ эла̄,ПРИЕЗЖАЛИ СЮДА ЧТОБЫ ВЗЯТЬ ПРОДУКТЫ
1463,олдомосилиңнэрэв олдолво турумденэл войнаңэхи,олдомосилиңнэМ олдолво турумденэл войнаңэхи,РЫБАЧИТЬ НАЧИНАЕМ РЫБКУ СОЛИЛИ В ВОЙНУ
